Problem,Content,Concept
LR_DO_ch5_P13,"This problem uses data from Kuehl (1994, p. 128).
a) Get lregdata and lregpack into R. Type the following commands. Then simultaneously press the Ctrl and c keys. In Word use the menu command “Paste.” Print out the figure.
  y <- ycrab+1/6
  aovtplt(crabhab,y)
b) From the figure, what response transformation should be used: Y = √√
1/Z,Y =1/ Z,Y =log(Z),Y = Z,orY =Z?

","Computational Statistics, Generalized Linear Regression"
LR_DO_ch5_P14,"The following data set considers the number of warp breaks per loom, where the factor is tension (low, medium, or high).
a) Copy and paste the commands for this problem into R.
Highlight the ANOVA table by pressing the left mouse key and dragging the cursor over the ANOVA table. Then use the menu commands “Edit> Copy.” Enter Word and use the menu command “Paste.” b) To place the residual plot in Word, get into R and click on the plot, hit the Ctrl and c keys at the same time. Enter Word and use the menu command “Paste” or hit the Ctrl and v keys at the same time.
c) Copy and paste the commands for this part into R.
Click on the response plot, hit the Ctrl and c keys at the same time. Enter Word and use the menu command “Paste.”
","Computational Statistics, Hypothesis Testing"
LR_DO_ch5_P15,"Obtain the Box et al. (2005, p. 134) blood coagulation data from lregdata and the R program ganova from lregpack. The program does graph- ical Anova for the one way Anova model.
a) Enter the following command and include the plot in Word by simulta- neously pressing the Ctrl and c keys, then using the menu command “Paste” in Word, or hit the Ctrl and v keys at the same time.","Computational Statistics, Hypothesis Testing"
LR_DO_ch5_P16,"5.17. To get in ARC, you need to find the ARC icon. Suppose the ARC icon is in a math progs folder. Move the cursor to the math progs folder, click the right mouse button twice, move the cursor to ARC, double click, move the cursor to ARC, double click. These menu commands will be written “math progs > ARC > ARC.” To quit ARC, move cursor to the x in the northeast corner and click.
This Cook and Weisberg (1999a, p. 289) data set contains IQ scores on 27 pairs of identical twins, one raised by foster parents IQf and the other by biological parents IQb. C gives the social class of the biological parents: C = 1 for upper class, 2 for middle class and 3 for lower class. Hence the Anova test is for whether mean IQ depends on class.
a) Activate twins.lsp dataset with the menu commands “File > Load > Data > twins.lsp.”
b) Use the menu commands “Twins>Make factors,” select C and click on OK. The line “{F}C Factor 27 Factor–first level dropped” should appear on the screen.
c) Use the menu commands “Twins>Description” to see a description of the data.
d) Enter the menu commands “Graph&Fit>Fit linear LS” and select {F}C as the term and IQb as the response. Highlight the output by pressing the left mouse key and dragging the cursor over the output. Then use the menu commands “Edit> Copy.” Enter Word and use the menu command “Paste.”
5.7 Problems 211 e) Enter the menu commands “Graph&Fit>Boxplot of” and enter IQb in
the selection box and C in the Condition on box. Click on OK. When the boxplots appear, click on the Show Anova box. Click on the plot, hit the Ctrl and c keys at the same time. Enter Word and use the menu command “Paste.” Include the output in Word. Notice that the regression and Anova F statistic and p-value are the same.
f) Residual plot: Enter the menu commands “Graph&Fit>Plot of,” select “L1:Fit-Values” for the “H” box and “L1:Residuals” for the “V” box, and click on “OK.” Click on the plot, hit the Ctrl and c keys at the same time. Enter Word and use the menu command “Paste.”
g) Response plot: Enter the menu commands “Graph&Fit>Plot of,” select “L1:Fit-Values” for the “H” box and “IQb” for the “V” box, and click on “OK.” When the plot appears, move the OLS slider bar to 1 to add the identity line. Click on the plot, hit the Ctrl and c keys at the same time. Enter Word and use the menu command “Paste.”
h) Perform the 4 step test for Ho: μ1 = μ2 = μ3.","Computational Statistics, Hypothesis Testing"
LR_DO_ch5_P17,"This McKenzie and Goldman (1999, p. T-234) data set has 30 three-month- old infants randomized into five groups of 6 each. Each infant is shown a mobile of one of five multicolored designs, and the goal of the study is to see if the infant attention span varies with type of design of mobile. The times that each infant spent watching the mobile are recorded.
b) Choose “Stat>Basic Statistics>Display Descriptive Statistics,” select “C1 Time” as the “Variable,” click the “By variable” option and press Tab. Select “C2 Design” as the “By variable.” c) From the window in b), click on “Graphs” the “Boxplots of data” option, and “OK” twice. Click on the plot and then click on the printer icon to get a plot of the boxplots.
d) Select “Stat>ANOVA>One-way,” select “C1-time” as the response and “C2-Design” as the factor. Click on “Store residuals” and click on “Store fits.” Then click on “OK.” Click on the output and then click on the printer icon.
e) To make a residual plot, select “Graph>Plot.” Select “Resi1” for “Y” and “Fits1” for “X” and click on “OK.” Click on the plot and then click on the printer icon to get the residual plot.
f) To make a response plot, select “Graph>Plot.” Select “C1 Time” for “Y” and “Fits1” for “X” and click on “OK.” Click on the plot and then click on the printer icon to get the response plot.
g)Dothe4steptestforHo:μ1 =μ2 =···=μ5.
To get out of Minitab, move your cursor to the “x” in the NE corner of the screen. When asked whether to save changes, click on “no.”",Hypothesis Testing
LR_DO_ch6_P1,". The above output uses data from Kutner et al. (2005, prob- lems 19.16–17). A study measured the number of minutes to complete a repair job at a large dealership. The two explanatory variables were “A = technician” and “B = make of drive.” The output is given above.
a) Give a four step test for no interaction.
b) Give a four step test for the B main effects.",Hypothesis Testing
LR_DO_ch6_P2,"Suppose A has 5 levels and B has 4 levels. Sketch an interaction plot if there is no interaction.
Two Way Anova in SAS
InSAS,Y =A|BisequivalenttoY =A B A∗B.ThustheSASmodel statement could be written in either of the following two forms.

","Hypothesis Testing, Computational Statistics, Diagnostic"
LR_DO_ch6_P3,"Cut and paste the SAS program from (http://lagrange.math.siu.edu/Olive/lreghw.txt) for 6.3 into the SAS Editor.
To execute the program, use the top menu commands “Run>Submit.” An output window will appear if successful. The data is from Montgomery (1984, p. 198) and gives the maximum output voltage for a typical type of storage battery. The two factors are material (1,2,3) and temperature (50, 65, 80◦F).a) Copy and paste the SAS program into SAS, use the file command “Run>Submit.”
b) Click on the “Graph1” window and scroll down to the second interaction plot of “tmp” vs “ymn.” Press the printer icon to get the plot.
c) Is interaction present?
d) Click on the output window then click on the printer icon. This will produce 5 pages of output, but only hand in the ANOVA table, response plot, and residual plots.
(Cutting and pasting the output into Word resulted in bad plots. Using Notepad gave better plots, but the printer would not easily put the ANOVA table and two plots on one page each.)
e) Do the residual and response plots look ok?

","Hypothesis Testing, Computational Statistics, Diagnostic"
LR_DO_ch6_P4,"a) Copy the SAS data for problem 6.3 into Notepad. Then hit “Enter”
every three numbers so that the data is in 3 columns.b) Copy and paste the data into Minitab using the menu commands Edit>Paste Cells and click on “OK.” Right below C1 type “material,” below C2 type “temp” and below C3 type “mvoltage.”
c) Select Stat>ANOVA>Two-way, select “C3 mvoltage” as the response and “C1 material” as the row factor and “C2 temp” as the column factor. Click on “Store residuals” and click on “Store fits.” Then click on “OK.” Click on the output and then click on the printer icon.
d) To make a residual plot, select Graph>Plot. Select “Resi1” for “Y” and “Fits1” for “X” and click on “OK.” Click on the printer icon to get a plot of the graph.
e) To make a response plot, select Graph>Plot. Select “C3 mvoltage” for “Y” and “Fits1” for “X” and click on “OK.” Click on the printer icon to get a plot of the graph.
f) Use the menu commands “Stat>ANOVA>Interaction Plots.” Enter mvoltage in the “Responses” box and material and temp in the “Factors” box. Click on “OK” and print the plot.","Hypothesis Testing, Computational Statistics, Diagnostic"
LR_DO_ch6_P5,"The Box et al. (2005, p. 318) poison data has 4 types of treatments (1,2,3,4) and 3 types of poisons (1,2,3). Each animal is given a poison and a treatment, and the response is survival in hours. Get the poison data from lregdata.
a) Type the following commands to see that the output for the three models is the same. Print the output.
  out1<-aov(stime~ptype*treat,poison)
  summary(out1)
  out2<-aov(stime~ptype + treat + ptype*treat,poison)
  summary(out2)
  out3<-aov(stime~.^2,poison)
  summary(out3)
  #The three models are the same.
b) Type the following commands to see the residual plot. Include the plot in Word.
  plot(fitted(out1),resid(out1))
  title(""Residual Plot"")
c) Type the following commands to see the response plot. Include the plot in Word.
6.5 Problems 225
  FIT <- poison$stime - out1$resid
  plot(FIT,poison$stime)
  abline(0,1)
  title(""Response Plot"")
d) Why is the two way Anova model inappropriate?
e) Now the response Y = 1/stime will be used. Type the following com- mands to get the output. Copy the output into Word.
  attach(poison)
  out4 <- aov((1/stime)~ptype*treat,poison)
  summary(out4)
f) Type the following commands to get the residual plot. Copy the plot into Word.
  plot(fitted(out4),resid(out4))
  title(""Residual Plot"")
g) Type the following commands to get the response plot. Copy the plot into Word.
  FIT <- 1/poison$stime - out4$resid
  plot(FIT,(1/poison$stime))
  abline(0,1)
  title(""Response Plot"")
h) Type the following commands to get the interaction plot. Copy the plot into Word.
  interaction.plot(treat,ptype,(1/stime))
  detach(poison)
i) Test whether there is an interaction using the output from e).","Hypothesis Testing, Computational Statistics, Diagnostic"
