Problem text,Concept,Prediction
"Consider a linear regression on two predictor variables x1 and x2. Other things being equal, the greater the difference in their average values, i.e., the greater is |x? - x?|, the greater is the variance of the least squares estimates of both their coefficients. True False",1,0
"Under the statistical model Yi  indep Normal xi, 2 for i = 1, . . . , n, the maximum likelihood estimator of  is the value which minimizesnQ () =yi - xi 2 ;i=1 that is, under normality, maximum likelihood and least squares are equivalent criteria. True False",1,0
"Given a joint 1−�?confidence region for the simple linear regression parameters (β0, β1), one can compute a 1 �?α confidence band for the entire mean function, that is, E(Y |X = x) = β0 +β1x for all values of x. The Working-Hotelling method is an example. True False",1,0
"Suppose we have the following multiple linear regression model. Here �i ∼i.i.d N(0, σ2).
Yi = β0 + β1X1i + β2X2i + β3X3i + �i. (5)
We perform the analysis in R:
> n=100
> X1 = rnorm(n)
> X2 = rnorm(n)
> X3 = X1*0.2 + X2*0.3 + 0.5* rnorm(n)
> Y = 2*X1 + 3*X2+ rnorm(n)
> fit = lm(Y~X1+X2+X3)
> anova(fit)
Analysis of Variance Table
Response: Y
Df Sum Sq Mean Sq F value Pr(>F)
X1 1 460.61 460.61 ? <2e-16 ***
X2 1 873.37 873.37 1036.4910 <2e-16 ***
X3 1 0.63 0.63 0.7529 0.3877
Residuals 96 80.89 0.84
---
Signif. codes: 0 *** 0.001 ** 0.01 * 0.05 . 0.1 1
(a) (5 pts) Calculate the missing F value for X1.
(b) (5 pts) Calculate the SSR (Regression Sum of Squares) from the output.
(c) (5 pts) Calculate the adjusted R-square value from the output.
(d) (5 pts) Perform the following hypothesis test
H0 : β2 = β3 = 0 v.s. H1 : not both β2 and β3 equal zero.
Write down the test method with the rejection rule and calculate the test statistic.
(e) (10 pts) Calculate the Extra Sum of Squares SSR(X3|X1, X2) and the coefficient of partial
determination R2
Y 3|12.",1,0
"Sixteen batches of the plastic were made, and from each batch one test item was molded.
Each test item was randomly assigned to one of the four predetermined time levels, and
the hardness was measured after the assigned elapsed time. The results are shown below;
X is the elapsed time in hours, and Y is hardness in Brinell units. Assume the rst-order
regression model (1.1) is appropriate (model (2.1) in the notes).
Data not displayed
Perform the following tasks:
i. Use R to obtain the estimated regression function.
ii. Use R to create a scatter plot with the line of best t. Make the line of best t red.
iii. Use R to calculate the best point estimate of 2.
iv. Use R to calculate the sample correlation coecient and coecient of determination.",1,1
"An assistant in the district sales oce of a national cosmetics rm obtained data on advertis-
ing expenditures and sales last year in the district's 44 territories. X1 denotes expenditures
for point-of-sale displays in beauty salons and department stores (in thousand dollars), and
X2 and X3 represent the corresponding expenditures for local media advertising and pro-
rated share of national media advertising, respectively. Let Y denote sales (in thousand
cases). The assistant was instructed to study the in
uence variables X1 and X2 have on
sales Y . The data set CosmeticsSales.txt is posted on Canvas.
Use R to perform the following tasks:
i. Run the simple linear regression Y  X1. Test if expenditures for point-of-sale displays
in beauty salons and department stores (X1) statistically in
uences sales (Y ).
ii. Run the simple linear regression Y  X2. Test if expenditures for local media advertis-
ing (X2) statistically in
uences sales (Y ).
iii. Now run the the full regression Y  X1 + X2 + X3. Perform marginal t-tests to see
if X1 statistically in
uences sales (Y ) and if X2 statistically in
uences sales (Y ), after
controlling for the variance of X3. Brie
y compare the results to Parts i. and ii. and
comment on any discrepancies. Note: No need for Bonferroni.
iv. You should have noticed some discrepancies in Part iii. Explain why these discrepan-
cies are occurring and provide graphical or exploratory evidence to complement your
argument.
2",1,1
"(Project 10.27 in KNN) Continue with our analysis of the SENIC Project data. Here we take
average length of stay as the response variable Y , and consider three predictors: X1 = age,
X2 = routine chest X-ray ratio, and X3 = average daily census.
(a) Consider the regression model where Y jX = x is normally distributed with with mean
E(Y jX = x) = 0 + 1x1 + 2x2 + 3x3
and variance
Var(Y jX = x) = 2 :
Test for lack of t in the linear mean function by testing the need for a quadratic term in
each of the three variables individually, as well as the tted values (the latter is Tukey's
test of additivity). What do you conclude?
(b) Conduct the Breusch-Pagan test for nonconstancy of the variance function. Clearly state
your null and alternative hypotheses, report a p-value, and clearly state your conclusion.
(c) Obtain the studentized deleted residuals and identify any cases whose outlier t-test gives
a Bonferroni-adjusted p-value less than 1. What do you conclude?
(d) Obtain the diagonal elements of the hat matrix, i.e., the \hat-values"" hii. Do there seem
to be any high-leverage cases in this data set?
(e) Calculate Cook's distance Di for each case and prepare an index plot. Identify the two
most in
uential cases in the dataset according to this measure. Are these cases in
uential
because of their \outlierness,"" high leverage, or both?",1,1
"Recall the sample residual is dened by ei = yi􀀀^yi, where yi is the ith response value and ^yi
is its corresponding tted value computed by least squares estimates ^yi = ^ 0 + ^ 1xi. Prove
the following properties:
i.
Xn
i=1
xiei = 0
ii.
Xn
i=1
^yiei = 0",1,0
"Observations on Y are to be taken when x = 10; 20; 30; 40; and 50, respectively. The true
regression function is E[Y ] = 20 + 10x. The error terms are independent and normally
distributed with E[i] = 0 and V ar[i] = :8x.
i. Generate a random Y observation for each x level and calculate both the ordinary and
weighted least squares estimates of the regression coecient 1 in the simple linear
3
regression function.
ii. Repeat part (a) 10,000 times, generating new random numbers each time.
iii. Calculate the mean and variance of the 10,000 ordinary least squares estimates of 1
and do the same for the 10,000 weighted least squares estimates.
iv. Do both the ordinary least squares and weighted least squares estimators appear to be
unbiased? Explain. Which estimator appears to be more precise here? Comment.",1,1
"Suppose that we use the simple linear regression model and do not control for subject
variability. In this case, the model is Yi = 0+1xi1+i. Using the R output displayed
on pages 8-9, test if the exam scores statistically changed after the repeated trial. For
full credit, write down the correct null/alternative pair, test-statistic, p-value and
statistical conclusion. Use  = :05",1,0
"A student in accounting enthusiastically declared: “Regression is a very powerful tool. We can
isolate fixed and variable costs by fitting a linear regression model, even when we have no data
for small lots.�?Discuss.",1,0
"A social scientist stated: “The conditions for the bivariate normal distribution are so rarely met in
my experience that | feel much safer using a regression model.�?Comment.",1,0
"Microcomputer components. A staff analyst for a manufacturer of microcomputer components
has compiled monthly data for the past 16 months on the value of industry production of
processing units that use these components (X, in million dollars) and the value of the firm's
components used (Y, in thousand dollars). The analyst believes that a simple linear regression
relation is appropriate but anticipates positive autocorrelation. The data follow:

 

 

th 1 2 3 “a 14 15 16
2.052 2.026 2.002... 2.080 2.102 2.150
Ye: 102.9 101.5 100.8 104.8 105.0 107.2

 

a. Fita simple linear regression model by ordinary least squares and obtain the residuals. Also
obtain s{D9} and s{b;}

. Plot the residuals against time and explain whether you find any evidence of positive
autocorrelation

c. Conduct a formal test for positive autocorrelation using a = .05. State the alternatives, decision
rule, and conclusion. Is the residual analysis in part (b) in accord with the test result?",1,1
"Consider a regression problem with two predictor variables, both categorical: one has four levels, and the other has five levels. The mean function for the main effects model (no interaction) will have eight parameters. True False",0,0
"(Project 9.25 in KNN) Consider again the SENIC Project data, this time regressing Y =
(Length of stay)􀀀1 on the predictor variables
Variable Description
X1 Average age of patients
X2 Infection risk
X3 log(Routine culturing ratio)
X4 Routine chest X-ray ratio
X5 log(Number of beds)
X6 log(Average daily census)
X7 log(Number of nurses)
X8 Available facilities and services
(a) Use the Box-Cox methodology to justify the choice of response and predictor transfor-
mations suggested in the variable denitions above.
(b) Examine (but do not submit) a scatterplot matrix of response and all predictors. Which
batch of predictor variables are most highly correlated?
(c) Run a forward selection algorithm, starting with the intercept-only model, and taking all
eight predictor variables as the scope. Which variables are included in the mean function
suggested by the forward selection algorithm?
(d) Run the backward elimination routine on the mean function that includes all eight predic-
tor variables. Does this algorithm choose the same mean function as forward selection?
(e) Present and interpret a nal tted model of your choosing, that you feel provides the best
available aid to our understanding of how the average length of hospital stay is related
to the hospital characteristics encompassed by the variables in the SENIC dataset.",0,1
"Consider the following toy dataset displayed in the scatter plot below. Let the predictor
variable be assigned as x, the response as Y and assign n as the sample size. Note that there
are n = 100 cases in this dataset.Using the R code and output displayed on pages 6, 7 and 8, test the if the intercept statis-
tically diers from the slope, i.e., test the null/alternative pair:
H0 : 0 = 1 versus HA : 0 6= 1:
To receive full credit, compute both the T-statistic and F-statistic for testing the above
null/alternative pair. Also compute the correct p-value and state the statistical conclusion.
Write the solution on the top of page 7.
Note:
1-pt(t.calc,98)=0.1185218 1-pf(f.calc,1,98)=0.2370437
1-pt(t.calc,99)=0.1185074 1-pf(f.calc,1,99)=0.2370147",0,0
"In this problem part, we compare Type I versus Type III sums of squares. Suppose
we add some noise into our model. This might represent recording the respondents'
height in the study, which clearly doesn't contribute to their test scores. We will
compare the four ANOVA tables shown below:
ANOVA.1: anova(lm(ScoresExam+Student fac))
ANOVA.2: anova(lm(ScoresStudent fac+Exam))
ANOVA.3: anova(lm(Scoresnoise+Exam+Student fac))
ANOVA.4: anova(lm(Scoresnoise+Student fac+Exam))
Notice from the R output on page 11, the Type I SS are the same for ANOVA.1 and
ANOVA.2, regardless of the order that the variables are entered into the model. How-
ever, this relationship does not hold for ANOVA.3 and ANOVA.4.
In a few sentences, describe why the order of the variables changes the Type I SS in
the presence of the continuous noise variable. Please use complete sentences and any
relevant computations to support your argument.",0,1
"*.9. Refer to Patient satisfaction Problem 6.15. The hospital administrator wishes to determine the
best subset of predictor variables for predicting patient satislaction.

 

Chapter 9 Building the Regression Model I: Model Selection and Validation 377

a. Indicate which subset of predictor variables you would recommend as best for predicting
patient satisfaction according to each of the following criteria: (1) R? p> (2) AIC,, (3) Cp,
(4) PRESS, . Support your recommendations with appropriate graphs.

b. Do the four criteria in part (a) identify the same best subset? Does this always happen?

c. Would forward stepwise regression have any advantages here as a screening procedure Over
the all-possible-regressions procedure?",0,1
"*9.17. Refer to Patient satisfaction Problems 6.15 and 9.9. The Hospital administrator was interested
to learn how the forward stepwise selection procedure and some of its variations would perform
here.

a. Determine the subset of variables that is selected as best by the forward stepwise regression
procedure, using F limits of 3.0 and 2.9 to add or delete a variable, respectively. Show your
steps.

b. To what level of significance in any individual test is the F limit of 3.0 for adding a variable
approximately equivalent here?

c, Determine the subset of variables that is selected as best by the forward selection procedure,
using an F limit of 3.0 to add a variable. Show your steps.

d. Determine the subset of variables that is selected as best by the backward elimination
procedure, using an F limit of 2.9 to delete a variable. Show your steps.

e, Compare the results of the three selection procedures, How consistent are these results?
How do the results compare with those for all possible regressions in Problem 9.9?",0,1
"(a) Letting Ri denote the coefficient of determination for the regression y ~ x1, and R3
denote that for y ~ x2, and R?, that for y ~ x1 + x2, we must have R}, > max{R7, R3}.",0,0
"(a) (5 points) Give the coefficients in the estimated mean function if abdomen and hip cir-
cumference had been measured in inches. You are reminded that one inch equals 2.54
cm.",0,0
"Find the inverse of each of the following matrices:

432
a=} i] B=|6 5 10
: 1 6

Check in each case that the resulting matrix is indeed the inverse.",0,0
"A person states that bp and b, in the fitted regression function (1.13) can be estimated by the
method of least squares. Comment.",0,0
"Refer to regression model (1.1). Assume that X= 0 is within the scope of the model. What is the
implication for the regression function if Bg = 0 so that the model is ¥; = 6X) + ¢? How would the

regression function plot on a graph?",0,0
"Flavor deterioration. The results shown below were obtained in a small-scale experiment to
study the relation between °F of storage temperature (X) and number of weeks before flavor
deterioration of a food product begins to occur (Y).

 

i 1 2 3 4 5
Xr 8 4 ° -4 -8
Y: 78 9.0 10.2 11.0 Wz

Assume that first-order regression model (2.1) is applicable. Using matrix methods, find (1) Y'Y,
(2) XX, (3) XY.",0,0
