Problem Set ID,Problem_text,Related_Concept
lr_guren_ch1_p1,"Let us be given p 2: 3 independent normally distributed random variables
Yi rv N (J.Li, I ), i =1, . . . ,p. Let Y = (Y1, . .. ,Yp)' and J.t =(J.L1, . . . , J.Lp )' . Let
the loss of a decision rule 8(Y) for estimating the parameter vector J.t be
L(J.t,8(Y)) = (8(Y ) - J.t)'(8(Y) - J.t) =I:f=1(8(Y) i - J.L i) 2.
(a) Determine th e risk of the estimator 81(Y) = Y.
(b) Show that the risk of the estimator
82(Y) = (1 - (p; 2))y, Z =Y'y ,
is given as
p(J.t,( 2) = p - (p - 2)2E(ljZ) .
[Hint: Use the identity E[(Y - J.t)'YjZ] = (p - 2) E(ljZ).]
(c) Compare both risks. What can be said?","probability distribution, Hypothesis Testing"
lr_guren_ch1_p2,". Consider the sit uation from Problem 1.1 for th e case p = 10. Let
u = (1.9665, .5456, 2.2983, .6172, 1.9213, -2.1017, - .2727, 1.3510, 2.6029, 1.4598)'
be a given observation of Y .
(a) Compu te the two possible decisions 81(y) and 82(y) (estimat es of J.t)
corresponding to t he decision rules 81 (Y ) and 82 (Y) from Problem 1.1.
(b) Compute the observed losses of 81 (y) and 82(y) when J.L i = 1, i = 1, . .. , 10, are the true parameters.
(c) The i-th element of 81 (y ) and 82 (y ) can respectively be seen as an estimate of J.li . Check whether each element of 82 (y ) has a smaller observed
loss th an the corresponding element of 81 (y) when J.Li = 1 is the true
parameter.","probability distribution, Hypothesis Testing"
lr_guren_ch1_p3,"Consider the sit uation from Example 1.3 for an arbitrary sample size n .
Assume that the set contains the three rules
an d JO•5 (Y ) = 0.5.
(a) Determine the risks of J2 and JO.5 •
(b) Is JO.5(Y) admissible in = {J1(Y),J2(Y),JO.5 (Y)}? (P lot the three
risk functions for n = 10.) Is JO.5 (Y ) a reasonable decision rule?",Hypothesis Testing
lr_guren_ch1_p4,"Let Yi ,...., N(f-L, 1), i = 1, ... , n, be n independent distributed random
variables. Show that Y = L:~I Yi is admissible for f-L in the class
= {J(Y) : J(Y) =cY,c E IR}
with respect to the loss function L(f-L,J(Y)) = (J(Y) - f-L) 2.",Hypothesis Testing
lr_guren_ch1_p5,"Consider the situation from P roblem 1.2 and compute the observed losses
of the estimates J1 (y) and J2 (y) when f-L i = 1, i = 1, .. . , 10 are the true
parameters. Use the weighted squared error loss function
L (9,J(Y)) =(J(Y) - 9)'W(J(Y ) - 9) ,
where
W = diag(O.OI, 0.46, 0.01, 0.46, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01) .",Hypothesis Testing
lr_guren_ch1_p6,"Let W be a p x p symmetric nonnegati ve
definite matrix . Let >'max denote the largest eigenvalue of W .
(a) Show that all eigenvalues of F = (1/ >'max) W lie in the closed interval
[0,1].
(b) Show that F - F 2 is symmetric nonnegative definite.","Linear Algebra, Hypothesis Testing"
lr_guren_ch1_p7,"Explain why the condit ion
is necessary for the proof of Theorem 1.1. Explain in addit ion, why it is actually enough to demand the condition to be true only for symmet ric matrices
A with all eigenvalues in [0,1] .","Linear Algebra, Hypothesis Testing"
lr_guren_ch1_p8,"Is the condition
where A is an ar bitrary p x p matrix, satisfied for the following sets of decision
rules?
1.3 Problems 31
(i) = {8(Y) : 8(Y) = FY + f} , where F is a p x n matrix and f is a
p x 1 vector;
(ii) = {8(Y) : E[8(Y)] = O}.","Linear Algebra, Hypothesis Testing"
lr_guren_ch1_p9,"Let (e,L,Y ) be an estimation problem with a weighted squared error
loss function L and symmetric nonnegative definite weight matrix W. Let
W * denote an arbitra ry but fixed symmet ric positive definite matrix.
(a) Show that if 8o(Y) is admissible for 0 for the case W = W *, then
28 (Y is admissible for 20 for the case W = [ p. Note that
/ 2 is the (uniquely determined) symmet ric positive matrix satisfying
W 1/ 2W1/ 2 = W * * *.
(b) Use part (a) and Theorem 1.1 to derive the following claim: If 8o(Y) is
admissible for 0 for t he case W = W* , then 8o(Y) is admissible for 0
for th e case W = [p.","Estimation, Hypothesis Testing"
lr_guren_ch1_p10,"Show that
MSE (0 ,8 ) = Cov(8(Y)) + bias(8(Y)) bias(8(Y))' ,
where bias(8(Y)) = E(8(Y)) - O",Estimation 
lr_guren_ch1_p11,"Let 81 (Y) and 82 (Y ) be two decision rules such that the matri x-valued
inequality MSE(O, 8d MSE(0 , 82) is satisfied for all 0 E e. Show that
if for some given 0 E e the difference MSE( O, 82 ) - MSE( 0,8d is positive
definit e, then for this 0 the following two statements hold true:
(i) E [(81 (Y)i - 8i)2] < E [(82 (Y)i - 8i)2] for every i E {I , . . . ,p }.
(ii) E [(81 (Y) - 0)'W(81 (Y) - 0)] < E [(82(Y) - 0)'W(82(Y) - 0)] for every p x p symmetric positive definite matrix W .","Hypothesis Testing, Diagnostic"
lr_guren_ch1_p12,"Consider th e situation from Problem 1.1. Check whet her 8(Y ) = 0 is
admissible for JL in
= {8(Y) : 8(Y) = FY + f}
with respect to th e unweight ed squared error loss. Here F denotes a p x p
matrix and f denotes a p x 1 vector.","probability distribution, Hypothesis Testing"
lr_guren_ch2_p1,"Show that under the linear regression model with
assumptions (i) to (iv), the identity
is satisfied for any vector 13 * E IRP.","Linear Algebra, Multiple Linear Regression"
lr_guren_ch2_p2,"Consider the linear regression model
Yi =131 +132Xi +e.,
with n =8 observations
i = 1, ... ,n ,
i 1 2 3 4 5 6 7 8
Yi 1.764 1.672 1.796 1.548 -0.719 -0.635 0.484 3.133
Xi 15.00 15.89 23.39 6.07 7.63 8.57 14.63 18.79
(a) Plot the pairs (Xi, Yi), i =1, .. . ,8 .
2.6 Problems 81
(b) Determine the estimates 731 and 732 for 131and 132 , using the least squares
principle, and insert the regression line fj =731+732X into the picture.
(c) The true parameters are 131= 0 and 132 = 0.1. Insert the line y = 131 +132 X
into the picture.","Simple Linear Regression, Estimation"
lr_guren_ch2_p3,"Consider the linear regression model with assumption (i) to (iv) and
I n E C(X), where I n denotes t he n x 1 vector whose elements are all equal
to one. (Th e condition I n E C(X) is always satisfied in a linear regression
model with intercept .)
(a) Show that the condition I n E C(X) is equivalent to PIn = In, where
P = X(X'X)-1 X' .
(b) Show that the identities 2::7=1f}; = 2:: ~1 Yi and 2::7=1Ei =0 are sat isfied.
(Here f}; , Yi and Ei are th e elements of the vectors y = x13 , y and
g =y - y respectively.)","Linear Algebra, Multiple Linear Regression"
lr_guren_ch2_p4,"Consider the linear regression model with assumptions (i) to (iv) and
In E C(X). Under such a model often the corrected coefficie nt of determination
R2 = y'Py - ~(I~y)
c y'y _ ~(I ~y )2
is applied instead of th e usual coefficient of determination R2 . Show that
can be written as
R2 _ y'Cy c - y'Cy ,
where C =I n - ~I nI~ (centering matrix).","Linear Algebra, Multiple Linear Regression, Diagnostic"
lr_guren_ch2_p5,"Consider the sit uation from Problem 2.2.
(a) Compute the coefficient of determination R2 •
(b) Compute the unweighted squared error loss of the ordinary least squares
estimator 13 ,when j3 =(0,0.1)' is th e true parameter vector.
(c) Compute the unweighted squared error loss of the estimator 7!J = c13 , where
(n - p)R2
c = , 1 + (n - p - 1)R2
when j3 = (0,0.1)' is the true parameter. Compare the losses from (b)
and (c).
(d) Insert the line obt ained from the estimates 7!J into the picture from Problem 2.2. What can be said about th e estimation?","Multiple Linear Regression, Diagnostic, Estimation"
lr_guren_ch2_p7,". Show that und er the linear regr ession mod el with assumptions (i) to
(iv), the identity
&2 = _l_y' M y , M=In-X(X'X)- lX' , n- p
is true.","Linear Algebra, Multiple Linear Regression"
